AccountID  |AccountNumber      |PlanID     |TranID               |OutstdPrincipal      |FeeBillPaid          |FeeBilledNotPaid     |FeesCTDSystem        |Flag|OriginalPurchaseAmount|PlanSegCreateDate      |BillingTableName                                                                                    |CurrentBalance       |FeesChargedOnOtherPlan|ReportDate             |SystemDate             |UnpaidFeesCtd        |NSFFeesBNP           |LateFeesBNP          |ExcludeFlag|InterestCTD          |InterestBNP          |InterestBillPaid     |CollateralIdentifier|multiplesales
       6699|2000000700000002   |       1451|                    0|             13944.65|                  .00|                  .00|                  .00|EP  |                   .00|2012-06-12 00:00:00.000|DEMO BT                                                                                         |             13944.65|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6701|2000000700000003   |       1452|                    0|              7470.86|                  .00|                  .00|                  .00|EP  |                   .00|2012-08-02 00:00:00.000|DEMO BT                                                                                         |              7470.86|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6703|2000000700000004   |       1453|                    0|              6543.33|                  .00|                  .00|                  .00|EP  |                   .00|2012-08-02 00:00:00.000|DEMO BT                                                                                         |              6543.33|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6705|2000000700000005   |       1454|                    0|              7454.91|                  .00|                  .00|                  .00|EP  |                   .00|2013-01-11 00:00:00.000|DEMO BT                                                                                         |              7454.91|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6707|2000000700000006   |       1455|                    0|             24297.18|                  .00|                  .00|                  .00|EP  |                   .00|2013-01-11 00:00:00.000|DEMO BT                                                                                         |             24297.18|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6709|2000000700000007   |       1456|                    0|              6357.89|                  .00|                  .00|                  .00|EP  |                   .00|2013-03-26 00:00:00.000|DEMO BT                                                                                         |              6357.89|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6711|2000000700000008   |       1457|                    0|              9923.81|                  .00|                  .00|                  .00|EP  |                   .00|2013-04-05 00:00:00.000|DEMO BT                                                                                         |              9923.81|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6713|2000000700000009   |       1458|                    0|             17459.05|                  .00|                  .00|                  .00|EP  |                   .00|2013-06-11 00:00:00.000|DEMO BT                                                                                         |             17459.05|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                  .00|                  .00|                    |0
       6715|2000000700000010   |       1459|                    0|              8588.23|                  .00|                  .00|                  .00|EP  |                   .00|2013-08-23 00:00:00.000|DEMO BT                                                                                         |              8625.63|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|                37.40|                  .00|                    |0
       6717|2000000700000011   |       1460|                    0|             16976.61|                  .00|                  .00|                  .00|EP  |                   .00|2013-09-11 00:00:00.000|DEMO BT                                                                                         |             18468.78|                   .00|2015-05-30 23:59:57.000|2015-06-01 23:59:57.000|                .0000|                  .00|                  .00|          1|                  .00|              1492.17|                  .00|                    |0
